"var.diff.cumulative.coauthors.2.years","var.diff.cumulative.coauthors.4.years","mean.diff.articles","mean.diff.cumulative.coauthors","var.diff.cumulative.coauthors.5.years","var.diff.articles.5.years","var.diff.2.cumulative.coauthors.5.years.up","entropy.opposite","mean.author.minus.venue.context.zscore","var.diff.2.cumulative.coauthors.4.years.up","var.diff.2.articles.5.years.up","var.diff.2.articles.2.years.up","var.diff.2.articles.4.years.up","var.diff.2.articles.3.years.up","var.diff.2.cumulative.coauthors.3.years.up","Node"
1098,3663,1192,1130,1456,1407,746,1881,4225,135,1746,3717,1275,1460,2957,"156"
306,709,996,475,346,2391,4225,1427,694,4225,350,2830,962,1433,67,"157"
1229,709,2138,2583,1409,3017,4225,884,4225,4225,4225,1084,4225,781,395,"158"
488,554,4017,2884,249,1267,4225,1888,4225,4225,4225,1118,4225,978,4225,"159"
518,883,2701,2976,774,3454,4225,2648,4225,4225,537,1814,4225,4225,285,"160"
1535,1037,2483,3725,1764,2749,4225,631,4225,4225,999,1901,653,1280,695,"161"
3428,2395,1823,3813,1908,3454,4225,228,625,4225,410,4178,477,1598,4225,"162"
1229,676,355,940,623,2033,4225,670,750,4225,163,3231,4225,700,4225,"163"
169,143,2855,3548,191,1481,4225,686,1112,4225,4225,414,4225,4225,4225,"164"
577,284,2250,3964,380,1407,4225,2558,4225,4225,4225,176,4225,193,4225,"165"
431,206,996,390,222,2501,4225,3268,4225,4225,468,1866,231,978,58,"166"
312,809,766,634,280,1737,4225,1605,752,4225,4225,577,83,1974,4225,"167"
296,155,1655,1446,191,1842,4225,3079,4225,4225,4225,3454,4225,473,4225,"168"
470,387,3514,1008,274,2501,4225,3462,4225,4225,4225,1273,4225,4225,4225,"169"
1065,883,319,1162,2201,1120,4225,832,464,4225,350,1232,1275,491,276,"170"
3556,2594,3400,3548,2374,1842,4225,267,689,4225,4225,1157,4225,4225,4225,"171"
955,514,2794,996,367,3169,4225,2319,4225,4225,4225,809,4225,531,4225,"172"
909,622,2202,604,651,3323,4225,2283,4225,4225,4225,1118,4225,779,172,"173"
3616,2395,104,808,2560,161,319,518,422,432,2469,1449,2301,1491,2137,"174"
603,956,766,1285,603,2033,4225,1173,4225,4225,500,2150,392,3145,4225,"175"
242,270,2949,1479,495,2620,4225,2989,4225,4225,1219,3802,1594,1280,111,"176"
1732,1221,837,1130,689,430,1413,1704,4225,1611,1746,2011,1372,3550,1814,"177"
196,97,2391,2595,4225,4225,4225,2535,4225,4225,4225,616,4225,978,4225,"178"
3122,3430,2794,1913,1908,1267,1091,2596,4225,4225,2469,1891,2666,3663,4225,"179"
2815,2395,3613,3850,2979,3017,4225,1251,4225,4225,1219,3549,1471,2450,2754,"180"
1466,1454,535,3296,1456,1267,4225,743,4225,4225,681,2684,477,689,483,"181"
3865,2834,3419,2416,2051,2873,4225,2639,4225,4225,4225,3053,4225,2910,1059,"182"
210,483,106,320,1836,205,63,1282,549,4225,1426,98,204,2431,637,"183"
510,4225,121,170,4225,4225,4225,1083,146,4225,4225,42,4225,4225,4225,"184"
746,514,420,220,333,215,4225,2008,4225,1501,1356,2417,526,2732,1117,"185"
3489,2490,2794,3202,3057,1338,927,1291,4225,1548,4225,2547,1806,2287,2269,"186"
275,4225,1129,421,4225,167,4225,2517,4225,4225,140,2084,1471,806,736,"187"
73,314,13,15,21,4,552,703,420,183,6,101,15,25,241,"188"
70,94,3,11,2560,64,4225,704,527,4225,15,19,1,5,9,"189"
361,223,420,624,78,51,29,521,303,65,35,984,187,216,553,"190"
1012,3317,68,184,3310,1407,14,403,740,18,29,244,30,115,311,"191"
3575,3663,3514,3702,2896,2620,1005,1849,4225,4225,1291,3773,1702,2526,2042,"192"
179,80,158,42,87,77,625,1405,892,74,264,3213,1058,2340,1645,"193"
1735,1517,673,841,2051,2256,421,2263,4225,708,264,2230,1171,3791,1247,"194"
2075,3430,2701,2976,3231,1407,598,2390,4225,4225,2381,2953,2046,1894,1365,"195"
71,54,1192,3770,105,521,4225,919,173,4225,4225,971,4225,4225,4225,"196"
2921,3055,2319,1620,1633,868,1367,2544,4225,708,1746,3725,2820,3173,3224,"197"
2023,1979,2018,2498,1836,3323,4225,1866,4225,4225,4225,1390,800,675,4225,"198"
200,270,2138,362,495,2141,4225,2553,4225,4225,1139,1866,962,1343,4225,"199"
774,1517,1753,1340,3057,2391,4225,607,4225,4225,856,2736,653,1433,413,"200"
2249,848,3927,3460,946,1926,4225,3266,4225,4225,4225,2093,4225,4225,4225,"201"
539,373,2483,1956,559,2141,4225,446,711,4225,4225,577,4225,4225,4225,"202"
1521,2594,3216,970,3310,2749,4225,3265,4225,4225,4225,2452,4225,4225,1059,"203"
241,176,2869,1593,163,774,4225,3296,4225,4225,4225,1891,4225,376,4225,"204"
111,83,3927,2411,199,2873,4225,1765,4225,4225,4225,1608,4225,1280,67,"205"
145,314,1,12,199,5,9,263,758,25,322,16,357,129,442,"206"
2189,3816,2701,2070,2638,2033,385,333,856,215,1511,2488,2536,3238,1873,"207"
926,3430,2949,634,1245,1842,385,168,1115,4225,1908,2900,4225,2774,614,"208"
1820,1675,3514,1620,3398,3169,4225,2031,4225,4225,999,3802,800,2097,834,"209"
378,270,3216,3813,495,3454,4225,1216,4225,4225,4225,1043,653,978,215,"210"
1454,3055,887,875,2284,686,4225,2112,82,4225,2469,2582,4225,2542,442,"211"
718,326,2319,3879,495,1572,4225,2046,446,4225,4225,1684,4225,172,258,"212"
391,533,3613,996,2560,3323,182,3391,290,4225,999,3161,4225,2211,926,"213"
16,4,428,237,11,1481,4225,1557,4225,4225,243,454,93,491,5,"214"
897,1165,2483,1051,1836,2873,4225,3172,4225,4225,790,2194,1594,1777,550,"215"
180,243,1097,1680,97,316,4225,1311,300,4225,4225,97,4225,4225,4225,"216"
596,646,2377,3770,581,2256,4225,2448,4225,4225,4225,931,4225,779,4225,"217"
1180,1454,944,1793,1301,3017,4225,2155,4225,4225,4225,2150,800,3145,342,"218"
289,180,2250,2701,222,1572,4225,143,689,4225,4225,3454,4225,4225,91,"219"
1229,848,2138,662,3231,1842,4225,559,574,4225,1665,2835,1594,3145,637,"220"
1896,1124,2076,2983,4225,4225,4225,398,4225,4225,4225,2527,1058,1974,4225,"221"
105,136,80,158,473,380,4225,1393,639,4225,350,486,653,542,25,"222"
671,999,1957,3702,848,3017,4225,97,1145,4225,500,1555,1471,1777,4225,"223"
661,646,3819,4131,716,3017,4225,2358,4225,4225,4225,911,4225,4225,426,"224"
1561,2157,232,704,1070,101,1182,1312,80,708,306,1657,2666,1156,2454,"225"
395,745,2138,574,530,2391,4225,2773,4225,4225,4225,949,4225,4225,111,"226"
1120,1392,1227,1879,1356,3454,4225,2084,4225,4225,192,931,874,791,268,"227"
4186,3317,514,4205,2979,3454,4225,67,810,4225,87,249,4225,196,2957,"228"
767,676,2794,3410,816,2620,4225,1025,4225,4225,4225,4056,1702,1104,4225,"229"
514,1165,3819,1150,1908,3017,297,2222,4225,4225,4225,3717,4225,2261,614,"230"
50,70,7,16,1356,37,4225,1481,166,4225,44,25,21,22,10,"231"
1971,2157,846,439,1120,1338,385,3657,4225,4225,1219,1217,800,1013,1014,"232"
1199,1979,1462,1028,2051,614,726,2416,181,4225,1579,633,962,1598,1873,"233"
1473,3055,2483,1506,346,2501,4225,1944,4225,4225,4225,1390,721,675,4225,"234"
308,83,1290,1317,169,2620,4225,3834,4225,4225,4225,1437,4225,4225,4225,"235"
1117,1124,471,506,1764,3454,4225,3563,4225,4225,83,1211,152,675,297,"236"
165,118,1957,907,241,2141,4225,442,962,4225,4225,1351,4225,978,50,"237"
1077,1221,2377,439,2724,3323,167,1707,4225,4225,576,3416,4225,1598,637,"238"
295,361,3514,875,2051,2256,4225,866,4225,4225,4225,1814,962,873,102,"239"
97,57,218,138,182,3454,4225,2650,4225,4225,4225,186,4225,56,16,"240"
587,326,2138,674,1514,1926,4225,1989,4225,4225,1356,2697,4225,3663,147,"241"
1239,709,2855,996,2638,820,4225,3000,4225,4225,1426,2272,2301,2431,764,"242"
3663,2490,3724,3331,2638,1044,1559,242,1216,1548,1665,3465,1806,2312,2760,"243"
2114,1454,1509,2701,1356,2501,4225,1299,4225,4225,681,931,4225,473,792,"244"
748,622,2618,2549,651,2501,4225,623,411,4225,4225,1118,4225,978,268,"245"
231,243,2250,829,559,2391,4225,2315,4225,4225,999,2697,1806,1974,81,"246"
3046,3055,743,604,4225,1842,119,3572,4225,4225,631,2039,4225,376,1365,"247"
315,188,471,808,274,2873,4225,692,539,4225,4225,755,187,423,44,"248"
466,301,3724,2283,380,1737,4225,3930,4225,4225,4225,315,4225,4225,147,"249"
880,809,1655,1216,603,2501,4225,4087,4225,4225,4225,1608,392,873,4225,"250"
2433,1517,3400,3460,1836,2501,4225,1322,4225,4225,4225,971,4225,531,4225,"251"
578,809,3298,718,163,1120,4225,1244,853,4225,4225,273,4225,4225,62,"252"
1859,2594,1320,2411,3149,1737,272,1573,4225,4225,1291,3571,2419,1642,508,"253"
1149,709,428,1258,581,2256,4225,2001,4225,4225,4225,392,100,193,4225,"254"
1939,709,1823,2367,1198,3454,4225,2906,4225,4225,410,1891,4225,4225,4225,"255"
1483,483,4225,1162,623,2749,1091,2219,4225,515,1511,3250,2173,3341,2477,"256"
253,124,1689,2583,177,988,4225,466,4225,4225,4225,839,4225,4225,4225,"257"
1982,848,3613,2849,2374,4225,4225,4207,4225,4225,733,2779,874,1974,834,"258"
1124,1271,3613,2619,816,1642,4225,1694,4225,4225,4225,437,4225,4225,426,"259"
223,124,1158,3124,199,1267,4225,2354,4225,4225,4225,176,4225,4225,4225,"260"
