"var.diff.cumulative.coauthors.2.years","var.diff.cumulative.coauthors.4.years","mean.diff.articles","mean.diff.cumulative.coauthors","var.diff.cumulative.coauthors.5.years","var.diff.articles.5.years","var.diff.2.cumulative.coauthors.5.years.up","entropy.opposite","mean.author.minus.venue.context.zscore","var.diff.2.cumulative.coauthors.4.years.up","var.diff.2.articles.5.years.up","var.diff.2.articles.2.years.up","var.diff.2.articles.4.years.up","var.diff.2.articles.3.years.up","var.diff.2.cumulative.coauthors.3.years.up","Node"
1426,4225,691,1484,4225,4225,4225,3348,4225,4225,4225,4225,4225,4225,4225,"3078"
2692,2490,887,1130,1514,316,1005,3999,4225,708,681,2394,2820,2526,1602,"3079"
1030,1337,3613,3548,978,2749,4225,3833,4225,4225,4225,1351,4225,1280,426,"3080"
2314,4225,3037,1237,3398,4225,4225,2055,4225,90,537,1493,1058,873,614,"3081"
1979,1037,798,1373,4225,4225,4225,664,298,874,4225,1351,1806,3047,1888,"3082"
1219,446,3072,2595,4225,4225,4225,1127,371,4225,4225,203,4225,4225,4225,"3083"
833,919,3400,402,333,1267,4225,316,4225,4225,4225,1273,4225,4225,180,"3084"
2229,2266,3724,3076,2724,2501,1221,2793,4225,4225,1511,956,4225,3481,2957,"3085"
2729,3816,3514,3410,1836,988,1288,1848,4225,4225,1426,2578,2301,2211,2847,"3086"
1067,3195,2794,1506,1120,1926,1091,1979,1090,1447,2069,2467,4225,3803,3059,"3087"
2102,1337,2494,844,4225,4225,4225,3179,4225,1548,4225,3340,2419,2062,1727,"3088"
1062,284,2319,2037,514,3017,4225,644,250,4225,733,1519,4225,978,4225,"3089"
3216,2931,2502,3855,1982,362,1454,3831,4225,1501,410,1157,721,555,2957,"3090"
3043,2490,506,3237,2374,1737,4225,3227,4225,4225,243,1906,2301,606,4225,"3091"
544,848,3927,2155,774,2033,4225,3060,4225,4225,2069,2527,1594,2593,285,"3092"
2685,1454,724,2070,978,316,1221,1813,4225,1447,856,2314,357,2001,2672,"3093"
1511,622,208,218,1245,248,480,813,521,4225,2310,99,526,3145,1163,"3094"
2893,2157,1516,2988,1301,279,1043,331,417,1447,410,841,1058,614,2162,"3095"
1324,999,2168,1487,4225,4225,4225,1184,116,1153,4225,675,1594,4225,4225,"3096"
2822,4225,3298,3813,4225,728,4225,1759,4225,4225,733,3903,1806,2027,2572,"3097"
2146,1884,1554,1879,2284,3323,4225,2061,59,4225,537,3419,1922,2935,4225,"3098"
1107,809,2794,2934,885,2873,4225,274,4225,4225,4225,1157,4225,4225,311,"3099"
960,2594,1298,1032,670,868,1135,901,263,995,2564,933,1594,2242,3059,"3100"
455,554,4109,4076,581,2391,4225,198,4225,4225,4225,1608,4225,1433,4225,"3101"
3626,1979,3927,3637,1764,3017,4225,3987,4225,4225,1139,2164,4225,2431,4225,"3102"
382,257,3298,2037,266,2256,4225,1431,4225,4225,4225,616,4225,978,76,"3103"
2162,1392,3819,1479,2374,2033,625,1266,4225,1501,1985,3754,2666,1433,2572,"3104"
3749,3317,2250,3548,2638,1572,1221,310,913,874,4225,4225,4225,4225,2042,"3105"
797,587,2377,3725,623,1642,4225,1229,4225,4225,4225,700,4225,4225,4225,"3106"
261,243,1888,2671,134,380,4225,404,771,4225,4225,273,4225,259,4225,"3107"
2386,999,1436,1767,1245,653,1253,2696,4225,663,1908,3973,1372,2027,2860,"3108"
2456,2075,4225,3331,1162,1044,831,116,956,1270,1511,3851,1275,2503,1995,"3109"
714,446,3037,3410,816,1842,4225,604,742,4225,1985,2591,1594,3481,426,"3110"
2331,1812,1888,4123,2123,3017,4225,43,909,4225,4225,3003,1058,779,4225,"3111"
3312,2075,3724,2330,2123,2873,4225,3134,4225,4225,1219,3754,4225,1777,1505,"3112"
1192,2266,442,778,1908,294,363,660,4225,4225,1746,515,1922,2431,2957,"3113"
3037,2931,2138,3509,2374,521,1559,1126,4225,1611,733,1828,2046,2001,1973,"3114"
3155,3055,614,2671,3398,448,498,906,293,4225,2310,1745,1058,1135,2454,"3115"
3230,2834,3037,2671,1245,2141,1325,2348,4225,1099,1665,2578,4225,3173,2239,"3116"
3254,2075,4225,3607,1982,2501,4225,1508,4225,4225,4225,2375,4225,978,4225,"3117"
2347,3430,2018,1130,2804,2256,4225,3352,774,4225,1067,738,2301,2910,550,"3118"
1737,1037,2978,2814,4225,4225,4225,1408,4225,515,4225,3955,1594,1786,852,"3119"
556,425,3037,3460,514,2501,4225,1910,4225,4225,4225,616,4225,4225,4225,"3120"
3644,2705,4109,4104,2804,1926,4225,561,4225,4225,4225,755,4225,4225,4225,"3121"
855,4225,187,185,4225,4225,4225,824,414,4225,4225,4225,4225,4225,4225,"3122"
3900,4225,3216,3579,2638,2256,4225,1633,1083,549,4225,931,4225,4225,4225,"3123"
1694,4225,1778,1365,4225,4225,4225,3778,4225,4225,4225,3848,4225,2910,2572,"3124"
3530,4225,366,1365,4225,4225,4225,1273,1037,4225,4225,437,4225,4225,4225,"3125"
858,709,779,1345,229,122,124,1344,4225,263,125,301,133,265,1182,"3126"
3183,2834,1957,3702,2979,3017,4225,1358,4225,4225,468,1448,477,606,2234,"3127"
4047,2834,1838,2719,4225,4225,4225,2623,4225,1044,4225,1866,1702,2083,2069,"3128"
3927,2490,2391,3209,4225,4225,4225,1511,4225,4225,4225,2039,4225,1287,1579,"3129"
2572,1979,1173,3209,4225,4225,4225,2694,4225,1396,4225,1277,526,611,2170,"3130"
4061,2931,1263,3373,4225,4225,4225,2716,4225,4225,4225,3802,254,2211,4225,"3131"
2755,2395,2138,2671,2896,3169,4225,155,1161,4225,537,2540,874,2910,4225,"3132"
3101,4225,279,1879,2638,467,625,989,537,383,1291,485,962,697,1799,"3133"
4045,2931,1689,3725,2471,1926,4225,3049,4225,1677,1665,3081,2536,3257,3145,"3134"
3433,2705,864,2934,2123,1407,1454,2879,4225,1501,1291,3003,1275,2027,2247,"3135"
3812,3663,1888,3548,3231,2141,889,1824,4225,4225,1426,4085,1702,3697,4225,"3136"
2332,1392,3927,3296,1514,1842,1221,2136,4225,937,2240,2150,2666,3663,2477,"3137"
2625,3317,1906,2671,1836,542,1413,3333,4225,4225,1291,3754,4225,999,3145,"3138"
2615,3317,1290,2976,4225,774,480,314,893,4225,2240,2748,2419,2503,2137,"3139"
2958,3055,3640,3341,1633,2141,1221,2654,4225,1611,1908,3081,4225,2340,2877,"3140"
1282,1517,263,2367,1982,448,4225,1210,4225,4225,1828,786,1594,1143,413,"3141"
2209,4225,965,1340,1764,521,661,1947,4225,172,1985,3670,1806,3527,1436,"3142"
2681,1517,1608,2155,848,406,831,3482,4225,1396,790,1588,477,2795,2379,"3143"
4008,2834,2377,3369,4225,1926,801,2682,4225,1447,1908,3035,2173,2689,2387,"3144"
3716,4225,978,2112,4225,4225,4225,3217,4225,4225,4225,4123,4225,3791,3145,"3145"
1696,646,971,1846,4225,4225,4225,883,4225,339,4225,179,71,707,2504,"3146"
2261,1392,642,1541,848,262,860,1430,61,1044,1139,1450,434,1304,2468,"3147"
3101,3430,2794,3995,2560,923,1559,1522,4225,4225,1511,2082,1471,2450,2078,"3148"
593,4225,3819,1727,4225,728,4225,3170,4225,4225,681,1855,2536,1433,698,"3149"
2284,3663,1608,1727,2284,1267,661,1626,4225,246,2564,3955,2820,4225,2847,"3150"
3927,2490,436,2376,4225,4225,4225,1803,4225,1270,4225,1641,1171,2027,2683,"3151"
3121,1517,2319,2367,1301,653,1091,2559,4225,1044,1219,1211,2666,2713,2969,"3152"
3907,3195,3216,3850,3398,2033,4225,918,4225,4225,2153,3476,2173,3238,4225,"3153"
1102,4225,2260,2587,4225,4225,4225,2934,4225,4225,4225,719,97,1280,4225,"3154"
3774,3546,3129,2283,3057,988,4225,2215,4225,4225,4225,598,4225,4225,1505,"3155"
1612,1221,83,397,473,172,1598,1531,4225,791,1579,440,653,695,1243,"3156"
2386,1588,121,3548,2374,279,4225,727,54,4225,924,666,2952,1119,966,"3157"
4134,3430,766,4085,3057,3454,4225,953,4225,4225,125,3303,1275,3663,4225,"3158"
4114,3816,1823,4147,3310,1737,1253,815,4225,4225,4225,273,4225,4225,2957,"3159"
3616,3546,753,3607,2979,3454,1135,2321,4225,4225,135,1443,4225,292,3224,"3160"
2769,2395,327,662,3231,3017,104,2311,4225,143,4225,570,142,323,733,"3161"
4015,3816,630,4087,4225,4225,4225,1317,4225,4225,4225,2058,133,881,2234,"3162"
2212,2834,3537,923,1070,2256,1367,4164,4225,484,1746,3380,2419,2593,3052,"3163"
1652,2931,319,1340,4225,161,141,1399,347,4225,1356,1157,1922,549,764,"3164"
1415,2157,3298,1727,689,868,625,3803,4225,4225,1511,1523,1275,2732,1523,"3165"
2252,2395,3072,2376,4225,4225,4225,3331,4225,1209,4225,2830,2536,2287,2667,"3166"
3533,3055,996,1401,2724,1267,404,3799,4225,4225,1665,2040,2820,2935,1114,"3167"
914,587,1957,3124,885,4225,4225,2201,4225,4225,375,2527,4225,1777,4225,"3168"
1548,1124,4225,3879,1162,3323,4225,1618,451,4225,999,1714,4225,1104,668,"3169"
1879,1884,1608,3076,1699,1926,4225,2428,4225,4225,1291,2972,1594,2083,4225,"3170"
4205,3816,2076,3708,4225,4225,4225,1046,4225,4225,4225,2944,2301,1642,2856,"3171"
2734,3430,1290,1541,1409,1407,1253,4006,4225,383,1746,3725,2952,2795,1799,"3172"
2440,3816,2018,2849,2560,494,860,711,4225,4225,999,2861,1275,1689,1384,"3173"
2087,3195,2402,1544,1162,728,1650,4117,4225,4225,1579,1321,2952,2287,1640,"3174"
2295,2594,113,1130,2201,316,4225,678,702,4225,733,738,204,992,4225,"3175"
1781,3195,2618,1193,915,1191,1091,2727,1232,874,2240,2629,1922,3481,2379,"3176"
4114,3546,451,1479,3149,2620,278,2106,4225,4225,135,1662,231,3791,1505,"3177"
2545,3195,1254,1767,4225,4225,4225,3180,4225,4225,4225,1848,4225,2526,2348,"3178"
1793,587,691,1426,745,584,889,1612,4225,280,2469,952,721,376,1523,"3179"
3564,3816,2202,4037,2471,1120,1559,1283,4225,1396,2310,3549,1372,3697,2754,"3180"
222,1517,212,143,105,60,251,277,719,606,59,866,187,176,1365,"3181"
2156,3195,996,2283,1836,430,1091,2431,4225,4225,1291,2150,1372,801,1579,"3182"
3560,4225,1843,2894,2201,820,1325,2666,4225,640,2153,3983,2952,2824,2581,"3183"
994,3546,1843,847,848,584,1650,566,963,4225,1426,80,721,262,795,"3184"
3108,1392,3514,2849,1908,3169,4225,1198,4225,4225,999,2697,1594,1433,4225,"3185"
2362,1588,1129,1589,4225,2749,174,999,4225,4225,264,2527,721,2689,733,"3186"
1920,2157,1360,996,2374,584,258,2339,4225,432,1828,2262,1471,1626,2572,"3187"
2718,1165,1888,1589,651,1737,726,4154,4225,1153,1511,2893,1702,2689,2361,"3188"
2600,2157,3927,3637,2560,3169,4225,3188,4225,4225,4225,3955,1058,1777,1163,"3189"
1029,4225,1558,1455,4225,4225,4225,1611,4225,4225,4225,839,4225,1974,1727,"3190"
2472,1675,3514,2884,3310,1572,4225,954,4225,4225,2564,2476,1922,3663,1961,"3191"
1306,676,3400,2498,885,3323,4225,1537,4225,4225,681,1745,2419,3341,4225,"3192"
2178,919,1957,1956,1568,3323,4225,2631,4225,4225,350,2093,962,1443,4225,"3193"
2324,1165,3819,2849,2123,3454,4225,2185,4225,4225,924,3981,1702,1777,4225,"3194"
1550,1077,2018,3850,1764,1572,4225,732,148,4225,2153,3637,2301,1642,4225,"3195"
81,34,924,756,26,1338,4225,2006,51,4225,4225,3454,4225,83,4225,"3196"
3556,3663,2202,2111,3310,1642,4225,2458,1080,663,2153,2058,2666,3481,4225,"3197"
4008,3055,3037,3964,3149,1407,4225,2585,4225,4225,4225,235,4225,4225,1873,"3198"
3900,4225,3216,4085,2804,1044,1559,1261,4225,1501,1746,1823,2046,2431,4225,"3199"
1350,3430,1294,2196,4225,4225,4225,2912,4225,4225,4225,2830,526,3481,1579,"3200"
2204,2594,2545,1506,1245,1191,1650,3965,4225,1153,2381,1649,2952,2295,1601,"3201"
2141,1271,2412,1689,4225,4225,4225,3457,4225,1340,4225,1587,2666,3145,2234,"3202"
1518,2266,2319,2671,2896,3323,4225,3314,1233,4225,4225,1608,962,779,2042,"3203"
1754,3195,3514,541,1409,1642,1135,194,4225,577,2469,4073,2536,3501,1737,"3204"
373,194,1076,53,118,1044,1454,416,919,1099,2069,3053,1171,2062,2279,"3205"
1441,1675,2794,230,774,3017,224,250,1114,80,790,2467,1922,3341,186,"3206"
22,17,1192,65,75,1572,4225,139,1108,4225,1219,3400,584,3481,9,"3207"
978,514,45,83,1633,138,4225,778,256,4225,999,1933,19,145,131,"3208"
149,745,3819,2450,214,3454,4225,212,960,4225,4225,630,4225,4225,70,"3209"
2546,1812,1613,566,4225,4225,4225,424,636,4225,4225,3637,2820,1777,4225,"3210"
2,1,1320,89,1,191,4225,216,1065,4225,4225,4225,4225,4225,4225,"3211"
576,483,2701,59,581,2873,141,235,534,246,733,2230,962,1974,1885,"3212"
1635,1077,1227,841,1908,1642,4225,4029,4225,4225,1426,1617,874,1304,285,"3213"
4025,3195,3216,2330,2471,2391,4225,1146,689,4225,4225,2779,4225,4225,4225,"3214"
1437,1221,3050,308,3149,2391,41,381,1058,263,1426,3109,800,2563,733,"3215"
1747,3430,837,2619,1633,1191,1367,2537,4225,4225,2153,338,4225,3341,2754,"3216"
1033,999,3400,1620,1982,3017,4225,2446,859,4225,1067,2972,1471,2287,342,"3217"
1284,3430,3640,2045,915,774,1182,654,366,749,1219,3487,2173,2542,2957,"3218"
1112,2594,4017,2000,530,868,308,4201,4225,1548,1219,2582,1922,1606,967,"3219"
3630,2266,3927,2549,2374,3454,4225,3528,4225,4225,733,3454,1594,1777,966,"3220"
2278,2594,724,1541,1409,294,4225,1978,1110,1270,576,540,1702,3047,2957,"3221"
910,2834,2319,729,473,2391,1043,1057,4225,515,1219,2944,1702,2027,966,"3222"
492,919,948,357,139,205,174,3550,4225,1270,375,328,308,238,888,"3223"
451,301,3037,2283,289,2141,4225,4147,4225,4225,4225,1649,4225,606,4225,"3224"
785,4225,506,279,4225,4225,4225,2959,1164,4225,4225,237,4225,150,2348,"3225"
2685,3546,3129,3296,3398,653,625,2477,4225,4225,1139,3848,2046,1984,2042,"3226"
1756,999,1565,4184,1013,614,4225,21,304,4225,4225,3802,4225,4225,4225,"3227"
2622,4225,1702,3077,4225,4225,4225,690,689,4225,4225,2578,4225,3481,2847,"3228"
1675,4225,1436,2584,4225,4225,4225,356,459,4225,4225,203,4225,4225,4225,"3229"
397,257,2250,3369,367,3323,4225,1601,4225,4225,468,2857,4225,1104,4225,"3230"
3053,4225,909,2373,4225,4225,4225,2485,4225,4225,4225,1118,4225,3341,2957,"3231"
3057,1517,1902,2671,4225,4225,4225,3050,4225,1153,4225,1814,800,606,2042,"3232"
1768,2157,494,996,2201,448,421,2384,4225,4225,2240,1998,874,1816,1014,"3233"
3636,2490,2631,3209,4225,4225,4225,2871,4225,1611,4225,2578,2820,1318,2379,"3234"
1758,3195,1290,619,2284,1338,182,2795,4225,128,1828,2900,2046,2985,466,"3235"
920,622,2483,2884,1456,2873,4225,2480,4225,4225,733,783,4225,2910,524,"3236"
2463,2931,2377,3296,1633,2501,4225,1610,1035,4225,4225,796,4225,2689,4225,"3237"
3303,2594,2978,4063,4225,4225,4225,2534,4225,1340,4225,1976,1922,2211,2170,"3238"
2883,2490,2887,3080,4225,4225,4225,1948,4225,4225,4225,1118,4225,2001,4225,"3239"
3800,3816,345,781,3149,1737,156,3264,4225,94,4225,348,46,127,1230,"3240"
2903,3055,1391,2934,1514,2873,4225,3537,4225,4225,4225,3802,4225,3145,4225,"3241"
4225,4225,59,55,4225,4225,4225,325,472,4225,4225,4225,4225,4225,4225,"3242"
1777,3430,3400,2758,4225,1842,4225,2404,4225,4225,2564,4178,4225,3481,764,"3243"
3677,2395,1391,2498,2560,1481,1091,1807,4225,1340,1511,1530,800,1104,2348,"3244"
3301,3055,3927,2549,1982,1481,1598,1464,4225,1340,1985,2467,4225,3679,2847,"3245"
1197,2075,541,1028,651,191,964,728,373,1209,410,1091,2952,703,1505,"3246"
3616,2395,1360,1655,1836,923,1135,3429,4225,1044,2381,1933,2301,3019,2477,"3247"
2491,1077,585,1801,4225,4225,4225,1264,1049,708,4225,1817,800,1119,2581,"3248"
2661,1165,340,1807,4225,4225,4225,1356,150,1153,4225,403,166,3663,2572,"3249"
3690,3663,1254,3344,4225,4225,4225,888,270,1044,4225,379,133,117,1064,"3250"
3878,2395,1136,3423,4225,4225,4225,1811,4225,4225,4225,2327,1171,3341,2847,"3251"
2774,4225,1608,2849,4225,380,4225,1560,212,4225,350,701,2952,1280,3145,"3252"
2970,4225,3400,3579,1764,521,1091,3504,4225,4225,500,3109,1471,1170,1445,"3253"
2479,2834,4109,2229,2123,1120,1325,4169,4225,995,1746,3476,4225,3663,2572,"3254"
753,459,3514,3410,745,2256,4225,3997,4225,4225,4225,755,4225,779,395,"3255"
11,9,2377,604,9,1120,4225,360,377,4225,4225,145,4225,4225,4225,"3256"
4021,3546,1158,2758,3149,1926,4225,735,606,484,733,1976,392,3481,1436,"3257"
3520,2157,3037,2283,1568,1842,1598,2529,4225,1611,1985,2230,2301,2910,2066,"3258"
3358,2705,1076,1285,1198,1267,1221,1686,4225,456,1579,652,357,553,2379,"3259"
3651,3317,1823,4158,2724,1572,4225,495,1048,4225,4225,1714,277,423,4225,"3260"
546,1812,3216,1150,530,774,625,2346,1146,1396,1291,2736,800,1872,469,"3261"
1456,1124,150,490,4225,4225,4225,1726,1067,874,4225,755,2046,1777,1727,"3262"
4225,4225,1436,3737,4225,4225,4225,2049,4225,937,4225,2452,1275,1860,2667,"3263"
3136,3546,3321,2336,2201,1191,860,3132,4225,4225,2153,3848,2301,3803,1799,"3264"
3433,3317,3514,2976,3231,2256,4225,3190,4225,4225,4225,2830,1372,3145,1873,"3265"
3428,1740,3537,3034,2284,728,1413,2190,4225,1153,1139,4062,2301,3238,2699,"3266"
2927,2931,2412,1807,4225,4225,4225,1362,4225,640,4225,3416,2301,2211,3052,"3267"
760,777,2483,3124,473,614,4225,1376,4225,4225,4225,3802,4225,1104,4225,"3268"
1955,1454,1192,2283,670,3454,4225,2738,4225,4225,4225,1133,231,1433,4225,"3269"
4199,3816,1372,2763,3057,1120,726,1661,4225,4225,2153,2329,1275,3663,2454,"3270"
2456,2266,3613,3663,1568,2256,4225,847,4225,4225,1746,3848,4225,3791,4225,"3271"
1310,676,864,718,346,542,480,1674,783,640,2240,3379,2820,3207,1821,"3272"
2769,2075,2949,2701,1699,2501,4225,2881,4225,4225,1219,3303,962,2593,4225,"3273"
2787,3816,1192,1361,1836,1842,625,1975,4225,4225,1067,3250,2820,3791,4225,"3274"
2742,2075,1957,2037,1162,614,964,744,1000,1447,1067,762,2820,1816,2778,"3275"
2416,3816,600,1066,2560,1044,4225,731,526,86,1139,1014,2173,607,426,"3276"
3723,2395,952,2115,4225,4225,4225,1357,4225,1044,4225,971,4225,1280,1799,"3277"
2328,999,1129,3813,1456,2501,4225,1313,691,4225,681,2387,4225,675,4225,"3278"
3520,3430,4109,3702,2979,1481,1043,3087,4225,4225,2381,1084,2666,2211,2754,"3279"
820,1588,3037,3169,1198,2620,4225,1035,4225,4225,1219,2578,874,1689,4225,"3280"
3575,3816,4109,3770,2979,2873,4225,1954,4225,4225,1426,3955,1471,2910,4225,"3281"
2811,2490,1906,1150,2201,2873,4225,1837,4225,4225,4225,971,4225,473,4225,"3282"
1447,3195,3216,1913,1409,1338,1005,3115,4225,4225,2240,2406,1471,3481,2754,"3283"
368,4225,53,100,4225,4225,4225,868,191,4225,4225,1714,4225,4225,4225,"3284"
2696,2395,1320,2411,1356,774,1325,1257,4225,1548,1985,2713,2173,2120,2348,"3285"
2834,2075,1524,3344,4225,4225,4225,288,635,1270,4225,887,1058,801,1596,"3286"
2947,2834,743,2934,2896,406,661,864,949,4225,1746,3303,800,692,1961,"3287"
1781,1271,2138,2583,1120,262,964,1775,1033,822,243,864,526,881,852,"3288"
3088,1517,1462,2155,2284,1481,4225,2713,4225,4225,1746,1283,962,3145,966,"3289"
1187,919,1360,1956,2724,2033,4225,1646,1211,4225,1067,1909,1171,1974,792,"3290"
1179,4225,971,1512,4225,4225,4225,1539,381,4225,4225,1891,4225,1280,1163,"3291"
3212,1675,1333,1963,1456,653,1598,2789,4225,4225,2069,3035,1275,1652,2461,"3292"
3847,2931,3927,4076,3398,1842,1221,775,4225,4225,4225,2611,2046,3501,2572,"3293"
2912,2266,701,1655,1908,923,1221,877,125,1209,1746,2377,1702,1148,2158,"3294"
1678,1337,251,844,4225,4225,4225,1725,735,1209,4225,318,231,259,2957,"3295"
3990,3317,2056,3237,3231,3323,4225,2027,871,1044,537,4123,477,2526,3052,"3296"
905,1675,119,279,2724,115,56,691,562,4225,1579,958,2952,3173,395,"3297"
1884,4225,2618,3637,4225,235,4225,2233,471,4225,163,93,584,56,4225,"3298"
3384,2395,2161,2503,4225,4225,4225,1998,4225,1611,4225,1608,2820,2563,1523,"3299"
1995,2075,4109,3930,1456,4225,4225,383,428,4225,856,3035,1702,2431,4225,"3300"
3322,2266,2794,2583,2374,1481,1182,2299,1239,1501,2564,4123,2666,3364,2061,"3301"
270,4225,2018,1289,4225,4225,4225,1772,4225,4225,4225,552,1171,531,638,"3302"
3575,3317,4017,2701,1908,2256,4225,2277,4225,1099,1908,3729,2046,2997,2581,"3303"
3230,2157,2202,1340,3231,1044,4225,1480,4225,4225,2310,2082,2173,2608,884,"3304"
2075,956,2483,2758,1514,2033,4225,1931,4225,4225,1665,2748,1471,1479,637,"3305"
1346,3195,390,1162,1120,130,1413,344,850,995,183,631,1922,903,2608,"3306"
1923,1517,1823,3124,2638,1642,4225,3582,4225,4225,1426,1157,4225,1304,4225,"3307"
142,1812,4109,94,173,2033,1005,397,4225,456,2153,3549,1594,3047,358,"3308"
2804,1337,3037,3460,1162,2749,4225,503,4225,4225,4225,931,4225,4225,4225,"3309"
1881,1221,1608,2070,2979,2391,4225,3033,4225,4225,681,2093,1058,1777,1014,"3310"
931,4225,3129,2229,2560,1338,625,322,619,4225,2240,3416,2952,3481,1588,"3311"
3142,3816,3072,1890,4225,4225,4225,2864,4225,484,4225,2314,4225,1451,2957,"3312"
3263,3055,1524,896,4225,4225,4225,2714,4225,229,4225,3637,2301,3403,1436,"3313"
3116,3546,3724,3331,2804,1926,1182,1009,4225,4225,2381,3264,1594,2750,3145,"3314"
2563,2834,1608,1913,946,1120,1182,3334,4225,874,2564,3231,2820,1860,2957,"3315"
2197,2266,239,1345,1301,380,1504,337,157,1044,1511,542,653,810,1230,"3316"
3949,2931,2250,2000,1982,4225,831,494,4225,456,440,1745,1058,1618,1375,"3317"
4051,3430,3129,2367,2284,4225,772,545,4225,408,576,3003,962,1827,1505,"3318"
2660,2266,1753,1727,2051,448,1325,516,894,1677,856,1135,2301,2062,1881,"3319"
3737,2931,2701,4131,2804,1842,4225,1554,1242,4225,1985,2972,2666,2450,1799,"3320"
2840,2834,3216,3460,3310,988,4225,2904,4225,4225,1579,3303,2301,1801,2348,"3321"
3766,3430,1263,3671,4225,4225,4225,1472,1159,4225,4225,2629,1702,1280,4225,"3322"
1747,3430,289,1479,1409,115,1182,1608,21,4225,468,1001,584,1029,1961,"3323"
507,3816,158,150,300,47,1325,675,251,4225,68,382,1471,77,2957,"3324"
2190,2395,2794,2297,4225,4225,4225,2756,4225,708,4225,3802,1275,2431,1014,"3325"
885,919,4225,4123,915,2256,4225,1878,4225,4225,4225,2452,4225,4225,4225,"3326"
2921,4225,3298,2758,4225,1737,4225,705,140,4225,2469,1745,4225,3481,1436,"3327"
2613,4225,924,3509,4225,122,4225,1546,132,4225,91,91,477,74,1640,"3328"
2505,4225,3037,2411,1982,1120,1091,1183,4225,484,2153,2857,2301,2795,2572,"3329"
2781,3055,3400,1506,2560,2256,4225,109,689,4225,1579,3670,1471,1816,4225,"3330"
3749,4225,3819,2498,1982,2033,1288,3591,4225,515,1985,2230,2666,3173,1974,"3331"
1104,1124,1098,1695,367,181,224,1960,933,640,220,1179,874,328,798,"3332"
3339,1884,1029,1890,4225,4225,4225,2982,4225,1611,4225,2779,2536,3518,2069,"3333"
3322,1979,1823,1562,1568,1191,1325,2513,1096,1099,2469,3465,2952,2774,1592,"3334"
2748,2490,3129,808,2471,2391,238,3080,4225,4225,1356,3081,1275,1827,1163,"3335"
4045,3663,944,4175,3398,1044,1325,1776,4225,4225,1908,2388,1275,1170,3145,"3336"
2966,2834,3216,4015,2724,3169,4225,3439,4225,4225,999,4016,1372,2083,2042,"3337"
3674,3055,2631,3669,4225,4225,4225,1805,4225,1270,4225,3754,2820,3550,3145,"3338"
3635,2266,2202,3369,2051,1642,4225,2658,4225,4225,1665,3340,2173,2713,1114,"3339"
3285,2395,1655,3410,2051,2141,4225,2649,4225,4225,1067,1351,4225,1974,1579,"3340"
3330,3546,4017,2849,2804,868,1091,1169,4225,4225,1356,463,1806,978,2754,"3341"
2427,1675,3514,2450,1120,2501,4225,2278,4225,4225,4225,2375,4225,1104,4225,"3342"
1444,1740,3298,2411,2201,1842,831,477,1198,1209,2564,1814,962,1104,1892,"3343"
3275,1454,3321,2671,1982,3323,4225,592,306,4225,4225,1390,4225,473,4225,"3344"
3489,2395,837,2976,2724,3169,4225,193,779,4225,4225,996,152,376,1727,"3345"
1672,3816,1158,1479,2804,868,297,81,1158,183,4225,2200,2952,3019,1505,"3346"
4123,3195,3419,4184,3310,2141,4225,269,4225,1501,1828,3053,2046,3791,3145,"3347"
2630,1812,2483,3369,1699,2749,4225,264,536,4225,4225,616,4225,473,884,"3348"
2016,1221,3142,4079,978,1338,4225,431,1062,4225,4225,373,4225,675,4225,"3349"
3749,3546,4109,3770,3231,728,1091,294,499,1340,999,3675,2419,3183,2667,"3350"
3782,4225,2545,3196,3310,1338,693,74,1224,549,2564,3035,2173,2689,2504,"3351"
3088,1675,1823,4015,1836,3169,4225,309,840,4225,410,1400,4225,531,1286,"3352"
4199,3816,4225,3548,4225,2749,726,2234,4225,4225,4225,3340,4225,1433,1961,"3353"
1016,1124,2377,4158,1162,1737,4225,2107,4225,4225,4225,515,4225,4225,550,"3354"
2269,1221,3129,3971,1764,3323,4225,2241,4225,4225,4225,1714,4225,675,1114,"3355"
3837,3317,2018,3251,4225,4225,4225,258,1173,937,4225,1814,1372,2689,2847,"3356"
862,622,4225,3908,885,2256,4225,1163,4225,4225,1908,3454,2173,2503,508,"3357"
713,1454,614,1793,885,2256,4225,68,1086,4225,220,373,721,1598,4225,"3358"
1311,777,4225,4138,848,1338,4225,2942,4225,4225,4225,437,4225,4225,4225,"3359"
3937,2594,2018,2724,4225,4225,4225,3447,4225,4225,4225,2039,4225,2910,4225,"3360"
1502,4225,3514,2884,4225,406,4225,3785,4225,4225,264,2011,1171,2287,1178,"3361"
877,270,3613,2367,367,3169,4225,1287,404,4225,4225,1714,4225,1598,4225,"3362"
1659,2834,4109,1767,2560,2749,693,3737,4225,4225,1511,2736,1171,2526,1873,"3363"
2837,2490,4109,3124,2638,820,1091,4078,4225,1270,999,2150,1806,1882,4225,"3364"
3176,2705,2138,2283,1836,467,1325,3519,4225,1153,999,2272,2952,700,2596,"3365"
1747,2157,4017,1193,885,1407,1221,3775,4225,1447,2069,3955,2952,3257,2979,"3366"
2558,4225,1024,1109,4225,4225,4225,1063,4225,4225,4225,3848,4225,2431,2957,"3367"
3236,2075,3037,2367,3398,2391,458,2895,4225,4225,1511,2039,1171,3145,1579,"3368"
4173,3430,4225,3908,2724,2749,4225,4215,4225,1209,1356,1976,1372,3663,3145,"3369"
